year_of_publication,category,isbn
1987.0,['Ambassadors'],1
1987.0,['American essays'],1
1987.0,['American fiction'],10
1987.0,['American literature'],2
1987.0,['American newspapers'],1
1987.0,['American poetry'],1
1987.0,['American poetry.'],1
1987.0,['American wit and humor'],1
1987.0,"['American wit and humor, Pictorial']",1
1987.0,['Americans'],1
1987.0,['Androgyny (Psychology)'],1
1987.0,['Animals in art'],1
1987.0,['Animals'],4
1987.0,['Anorexia'],1
1987.0,['Anthologies'],1
1987.0,['Anthropology'],1
1987.0,['Antique dealers'],2
1987.0,['Antiques & Collectibles'],3
1987.0,['Apartheid'],1
1987.0,['Architecture'],4
1987.0,['Art forgers'],7
1987.0,['Art museums'],2
1987.0,['Art'],4
1987.0,['Artists'],1
1987.0,['Assertiveness (Psychology)'],1
1987.0,['Athens (Greece)'],1
1987.0,['Attitude change in children'],2
1987.0,['Audiobooks'],3
1987.0,['Australia'],8
1987.0,['Australian fiction'],1
1987.0,"['Authors, American']",11
1987.0,['Authorship'],2
1987.0,['Autogenic training'],1
1987.0,['BIOGRAPHY & AUTOBIOGRAPHY'],6
1987.0,['Baby sitters'],1
1987.0,['Baby-sitters club (Imaginary organization)'],1
1987.0,['Babysitters'],2
1987.0,['Ballet dancers'],4
1987.0,['Balls (Parties)'],2
1987.0,['Barbie dolls'],1
1987.0,['Bars (Drinking establishments)'],2
1987.0,['Baseball'],1
1987.0,['Bashfulness'],3
1987.0,['Basketball Fiction'],1
1987.0,['Bears'],2
1987.0,"['Beauty, Personal.']",1
1987.0,['Bible'],12
1987.0,['Bigamy'],1
1987.0,['Bildungsromans'],4
1987.0,['Biography & Autobiography'],46
1987.0,['Biology'],1
1987.0,['Birds'],1
1987.0,['Birth order'],1
1987.0,['Birthdays'],3
1987.0,"['Black Hills War, 1876-1877']",1
1987.0,['Blankets'],1
1987.0,['Blind'],1
1987.0,['Blind-deaf'],1
1987.0,['Boarding schools'],1
1987.0,['Body image in girls'],1
1987.0,"['Body, Mind & Spirit']",37
1987.0,['Boredom'],1
1987.0,['Boston (Mass.)'],2
1987.0,['Boundary Waters Canoe Area (Minn.)'],1
1987.0,['Brothers and sisters'],4
1987.0,['Buried treasure'],1
1987.0,['Business & Economics'],17
1987.0,['Business.'],1
1987.0,['California'],4
1987.0,['Camera industry'],1
1987.0,['Camps'],1
1987.0,['Canada'],2
1987.0,['Cancer'],1
1987.0,"['Cannery Row (Monterey, Calif.)']",1
1987.0,['Caricatures and cartoons'],2
1987.0,['Carnival'],1
1987.0,['Catholic Church'],14
1987.0,['Catholics'],1
1987.0,['Cheerleading'],1
1987.0,['Chemists'],2
1987.0,"['Chernobyl Nuclear Accident, Chernobylʹ, Ukraine, 1986']",1
1987.0,['Child abuse'],5
1987.0,['Child care.'],1
1987.0,['Child psychologists'],2
1987.0,['Child psychotherapy'],1
1987.0,['Child rearing.'],1
1987.0,['China'],2
1987.0,['Christian women saints'],2
1987.0,['Cinéma'],1
1987.0,['Ciphers'],1
1987.0,['City and town life'],4
1987.0,"['Civilization, Medieval']",1
1987.0,['Coincidence'],1
1987.0,['College and school drama'],1
1987.0,['College reader'],1
1987.0,['College teachers'],1
1987.0,['Colombian fiction'],4
1987.0,['Comedians'],2
1987.0,"['Comic books, strips, etc']",2
1987.0,['Comics & Graphic Novels'],2
1987.0,['Communism'],1
1987.0,['Communities'],2
1987.0,['Computers'],1
1987.0,['Cookbooks'],1
1987.0,['Cookery'],1
1987.0,"['Cookery, Italian.']",1
1987.0,['Cooking (Natural foods)'],1
1987.0,['Cooking'],22
1987.0,"['Cooking, Japanese']",1
1987.0,['Country life'],4
1987.0,['Courage'],2
1987.0,['Courtship'],1
1987.0,['Crafts & Hobbies'],5
1987.0,['Creative writing'],1
1987.0,['Crime and criminals'],1
1987.0,['Criminals'],1
1987.0,['Curiosities and wonders'],2
1987.0,['Dairying'],1
1987.0,"['Dalgliesh, Adam (Fictitious character)']",1
1987.0,['Dating (Social customs)'],2
1987.0,['Deception'],1
1987.0,['Design'],5
1987.0,['Detective and mystery stories'],10
1987.0,"['Detective and mystery stories, American.']",1
1987.0,['Devil'],1
1987.0,['Devotional literature'],2
1987.0,['Diary fiction'],2
1987.0,['Dinosaurs'],1
1987.0,['Disinheritance'],1
1987.0,['Divorce'],3
1987.0,['Dogs'],1
1987.0,['Domestic animals'],1
1987.0,['Domestic fiction'],3
1987.0,['Dormice'],1
1987.0,['Drama'],9
1987.0,['Drug abuse and crime'],2
1987.0,['Dungeons and Dragons (Game)'],1
1987.0,['Dutch language'],4
1987.0,['East Sussex (England)'],1
1987.0,['Easter eggs'],2
1987.0,['Ecology'],6
1987.0,['Education'],3
1987.0,['Egypt'],1
1987.0,['El Salvador'],1
1987.0,['Encarnación'],3
1987.0,['Encyclopedias and dictionaries'],3
1987.0,['England'],1
1987.0,['English drama'],1
1987.0,['English fiction'],1
1987.0,['English language'],1
1987.0,['English literature'],1
1987.0,['Enterprise (Imaginary space vehicle)'],1
1987.0,['Entertaining'],2
1987.0,['Epic literature'],2
1987.0,['Espionage'],7
1987.0,['Europe'],2
1987.0,['FICTION'],67
1987.0,['Fables'],1
1987.0,['Fairy tales'],4
1987.0,['Fairy tales.'],2
1987.0,['Families'],6
1987.0,['Family & Relationships'],12
1987.0,['Fantastic fiction.'],2
1987.0,['Fantasy fiction'],8
1987.0,"['Fantasy fiction, American']",3
1987.0,['Fantasy'],2
1987.0,['Fantasy.'],1
1987.0,['Fear'],2
1987.0,"['Fiction in English, 1945- - Texts']",1
1987.0,['Fiction'],1388
1987.0,['Film excerpts'],1
1987.0,['Folklore'],2
1987.0,['Foreign Language Study'],3
1987.0,['Forgiveness'],1
1987.0,['Fort Lauderdale (Fla.)'],3
1987.0,['Foundlings'],4
1987.0,['Freedom of conscience'],1
1987.0,['French poetry'],1
1987.0,['Friendship'],4
1987.0,['Gardening'],6
1987.0,['Generals'],4
1987.0,['Germany'],1
1987.0,['Ghost stories'],1
1987.0,['Ghosts'],1
1987.0,['Glow-in-the-dark books'],1
1987.0,['Good and evil'],4
1987.0,['Great Britain'],1
1987.0,['Greece'],1
1987.0,"['Guerre, 1939-1945 (Mondiale, 2e) - Mouvements de résistance - Yougoslavie - Biographies']",1
1987.0,['Health & Fitness'],20
1987.0,"['Heller, Jettero (Fictitious character)']",1
1987.0,['High schools'],1
1987.0,['High-carbohydrate diet'],1
1987.0,['History'],40
1987.0,"['History, Modern']",1
1987.0,"['Hollywood (Los Angeles, Calif.)']",1
1987.0,['Honesty'],1
1987.0,['Horror tales'],1
1987.0,"['Horror tales, American']",1
1987.0,['Horses'],2
1987.0,['House & Home'],2
1987.0,['Humor'],92
1987.0,['Humorous stories'],2
1987.0,['Ideology'],1
1987.0,['Indian children'],1
1987.0,['Indians of North America'],1
1987.0,['Inheritance and succession'],1
1987.0,['Intelligence service'],5
1987.0,['Interpersonal relations'],3
1987.0,['Interpersonal relations.'],1
1987.0,['Interplanetary voyages'],6
1987.0,['Ireland'],2
1987.0,['Junior high school students'],1
1987.0,['Juvenile Fiction'],219
1987.0,['Juvenile Nonfiction'],38
1987.0,"['Kayankaya, Kemal (Fictitious character)']",2
1987.0,['Kings and rulers'],3
1987.0,['Korea'],1
1987.0,['Language Arts & Disciplines'],9
1987.0,['Law'],2
1987.0,['Life on other planets'],5
1987.0,['Literary Collections'],11
1987.0,['Literary Criticism'],7
1987.0,['Love'],4
1987.0,['Low-calorie diet'],2
1987.0,['Manners and customs'],1
1987.0,['Medical'],15
1987.0,"['Medicine, Popular']",1
1987.0,['Meditation'],1
1987.0,['Meteorology'],1
1987.0,['Minnesota'],1
1987.0,['Moon'],1
1987.0,['Mothers'],1
1987.0,['Motion picture actors and actresses'],1
1987.0,['Motion pictures'],1
1987.0,['Motor disorders'],1
1987.0,"['Muffin, Charlie (Fictitious character)']",1
1987.0,['Music'],6
1987.0,['Muslims'],1
1987.0,['Nature'],16
1987.0,"['Novelists, English']",1
1987.0,['Oak Creek Canyon (Ariz.)'],1
1987.0,['Oceania'],1
1987.0,['Oklahoma'],1
1987.0,['Ornamental shrubs'],1
1987.0,['Pandas'],1
1987.0,['Performing Arts'],8
1987.0,['Pets'],9
1987.0,['Philosophy'],11
1987.0,['Photography'],3
1987.0,['Plot-your-own stories.'],1
1987.0,['Poetics'],1
1987.0,['Poetry'],11
1987.0,['Political Science'],9
1987.0,['Popular culture'],3
1987.0,['Private investigators'],1
1987.0,['Psychology'],12
1987.0,['Ranch life'],1
1987.0,['Readers'],2
1987.0,['Reference'],9
1987.0,['Religion'],32
1987.0,['Rhode Island'],1
1987.0,['Robots'],1
1987.0,['Rock musicians'],1
1987.0,['Role expectation'],1
1987.0,['Romance fiction'],1
1987.0,['Russia'],1
1987.0,['School stories'],1
1987.0,['Science fiction'],15
1987.0,"['Science fiction, American']",4
1987.0,"['Science fiction, English']",1
1987.0,['Science'],14
1987.0,['Second Advent'],1
1987.0,['Self-Help'],34
1987.0,['Short stories'],1
1987.0,['Sisters'],1
1987.0,['Slavery'],2
1987.0,['Snow sculpture'],1
1987.0,['Social Science'],35
1987.0,['Soviet Union'],1
1987.0,['Space and time'],1
1987.0,['Space stations'],1
1987.0,['Spain'],1
1987.0,['Spanish language materials'],1
1987.0,['Sports & Recreation'],6
1987.0,['Stepchildren'],1
1987.0,['Technology & Engineering'],6
1987.0,['Terrorism'],1
1987.0,['Travel'],4
1987.0,['True Crime'],2
1987.0,['Unidentified flying objects.'],1
1987.0,['Whales'],1
1987.0,['Wine and wine making'],1
1987.0,['Women physicians'],1
1987.0,"['World War, 1939-1945']",1
1987.0,['Young adult fiction'],1
1988.0,"[""ABC's""]",1
1988.0,"[""Arthur Miller's The Crucible""]",2
1988.0,"[""Children's encyclopedias and dictionaries""]",1
1988.0,"[""Children's literature""]",1
1988.0,"[""Children's literature, German""]",1
1988.0,"[""Children's poetry""]",4
1988.0,"[""Children's stories""]",6
1988.0,"[""Children's stories, American""]",2
1988.0,"[""Children's stories, Danish""]",1
1988.0,"[""Children's stories, English""]",6
1988.0,"[""Children's stories, Portuguese""]",1
1988.0,"[""Children's television programs""]",1
1988.0,['AIDS (Disease)'],1
1988.0,['Abandoned children'],1
1988.0,['Abduction.'],3
1988.0,['Aboriginal Australians'],2
1988.0,['Abortion'],1
1988.0,['Actors'],3
1988.0,['Adaptation (Biology).'],1
1988.0,['Administration of estates'],1
1988.0,['Adolescence'],3
1988.0,['Adoption'],1
1988.0,['Adultery'],1
1988.0,['Adventure and adventurers'],1
1988.0,['Adventure stories'],9
1988.0,"['Aesthetics, Modern']",1
1988.0,"['Africa, West']",1
1988.0,['African American women'],1
1988.0,['African Americans'],5
1988.0,['Afrikaans literature'],1
1988.0,['Aged'],1
1988.0,"['Ahab, Captain (Fictitious character)']",1
1988.0,['Alcoholics'],1
1988.0,['Alice (Fictitious character : Carroll)'],2
1988.0,['Alligators'],1
1988.0,['Alphabet'],1
1988.0,['American Sign Language'],1
1988.0,['American drama'],1
1988.0,['American fiction'],15
1988.0,['American literature'],2
1988.0,['American poetry'],6
1988.0,['American prose literature'],2
1988.0,['American wit and humor'],1
1988.0,"['American wit and humor, Pictorial']",2
1988.0,['Americans'],1
1988.0,['Angels'],1
1988.0,['Anglican Communion'],1
1988.0,['Animals'],4
1988.0,['Anorexia nervosa'],1
1988.0,['Anorexia'],1
1988.0,['Antique dealers'],1
1988.0,['Antiques & Collectibles'],1
1988.0,['Apartment houses'],1
1988.0,['Arabic poetry'],1
1988.0,['Arapaho Indians'],2
1988.0,['Architecture'],1
1988.0,['Art'],8
1988.0,['Arthurian romances'],4
1988.0,['Astral projection'],1
1988.0,['Astrology'],1
1988.0,['Athens (Greece)'],2
1988.0,['Atlantic Ocean'],1
1988.0,['Atlantis (Legendary place)'],1
1988.0,['Aunts'],1
1988.0,['Australia'],2
1988.0,['Austrian fiction'],1
1988.0,"['Authors, American']",4
1988.0,"['Authors, Danish']",2
1988.0,"['Authors, English']",1
1988.0,"['Authors, Irish']",1
1988.0,['BIOGRAPHY & AUTOBIOGRAPHY'],1
1988.0,['Babar (Fictitious character)'],1
1988.0,['Babysitters'],4
1988.0,['Baseball'],1
1988.0,['Bedrooms.'],1
1988.0,['Bedtime'],2
1988.0,['Bee hunting'],2
1988.0,['Beijing (China)'],1
1988.0,['Best books'],3
1988.0,['Bible'],4
1988.0,['Bibliothèques scolaires - Administration - Histoire - 20e siècle'],1
1988.0,['Biography & Autobiography'],94
1988.0,['Birds'],3
1988.0,['Birthdays'],1
1988.0,['Blind'],7
1988.0,['Boarding schools'],1
1988.0,"['Body, Mind & Spirit']",93
1988.0,['Bones'],1
1988.0,['Books and reading'],3
1988.0,['Boston (Mass.)'],2
1988.0,['Boys'],10
1988.0,['Brazil'],1
1988.0,"['Broadway (New York, N.Y.)']",1
1988.0,['Brothers and sisters'],1
1988.0,"['Bucket, Charlie (Fictitious character)']",4
1988.0,['Business & Economics'],16
1988.0,['CURIOUS GEORGE.'],1
1988.0,['California'],5
1988.0,['Call of Cthulu (Game)'],1
1988.0,['Camping'],1
1988.0,['Cancún (Mexico)'],1
1988.0,['Canon law'],1
1988.0,['Caricatures and cartoons'],1
1988.0,['Carrier Indians'],1
1988.0,['Cartoon characters'],2
1988.0,['Cats'],8
1988.0,['Catskill Mountains Region (N.Y.)'],5
1988.0,['Cave dwellers'],1
1988.0,['Charms'],1
1988.0,['Cheese'],2
1988.0,['Cheetahs'],1
1988.0,['Chemische Industrie'],1
1988.0,['Child development'],4
1988.0,['Child rearing'],2
1988.0,['Childlessness'],6
1988.0,['Children of alcoholics'],2
1988.0,['Children of clergy'],2
1988.0,['Children with disabilities'],1
1988.0,['Children'],1
1988.0,['Chimpanzees'],2
1988.0,['Christian fiction'],3
1988.0,['Christian life'],3
1988.0,"['Christian poetry, American']",1
1988.0,['Christianity'],3
1988.0,['Christmas stories'],1
1988.0,['Church and social problems'],1
1988.0,['City and town life'],1
1988.0,"['Civilization, Ancient']",1
1988.0,"['Civilization, Medieval']",2
1988.0,['Cliffs Notes'],1
1988.0,['Clothing trade.'],1
1988.0,['Cognition'],1
1988.0,['Cold (Disease)'],1
1988.0,['Cold dishes (Cooking)'],1
1988.0,['College stories'],1
1988.0,['College students'],1
1988.0,['Comics & Graphic Novels'],2
1988.0,['Commonwealth countries'],1
1988.0,['Communication in marriage.'],2
1988.0,['Communication'],1
1988.0,['Communities'],2
1988.0,['Composers'],4
1988.0,['Computers'],3
1988.0,['Conduct of life'],6
1988.0,['Conformity'],1
1988.0,['Consolation'],1
1988.0,['Container gardening'],1
1988.0,['Continental European fiction (Fictional works by one author).'],24
1988.0,['Control (Psychology)'],3
1988.0,['Cookery.'],1
1988.0,['Cookies'],2
1988.0,['Cooking'],32
1988.0,['Country life'],1
1988.0,['Courage'],2
1988.0,['Courtship'],5
1988.0,['Cousins'],1
1988.0,['Crafts & Hobbies'],7
1988.0,['Crime and criminals'],2
1988.0,['Criminals'],2
1988.0,['Curiosities and wonders'],14
1988.0,['Death'],2
1988.0,['Del (Fictitious character)'],1
1988.0,['Design'],1
1988.0,['Detective and mystery stories'],11
1988.0,"['Detective and mystery stories, English']",3
1988.0,['Dewey (Fictitious character : Disney)'],1
1988.0,['Diabetics'],1
1988.0,['Dinosaurs'],3
1988.0,['Discworld (Imaginary place)'],7
1988.0,['Dogs'],2
1988.0,['Domestic fiction'],3
1988.0,['Drama'],56
1988.0,"['Dramatists, English']",1
1988.0,['Dreams'],3
1988.0,['Dried flower arrangement'],5
1988.0,['Dysfunctional families'],1
1988.0,['Education'],6
1988.0,['Egypt'],1
1988.0,['Electronic apparatus and appliances'],1
1988.0,['Endocrinologists'],1
1988.0,['England'],5
1988.0,['English fiction'],19
1988.0,['English language'],1
1988.0,['Environmental education'],1
1988.0,['Escapes'],1
1988.0,['Executives.'],1
1988.0,['Exercise'],1
1988.0,['Extrasensory perception'],1
1988.0,['Extraterrestrial beings'],2
1988.0,['Fairy tales.'],1
1988.0,['Families'],3
1988.0,['Family & Relationships'],18
1988.0,"['Fantastic poetry, American']",1
1988.0,['Fantasy fiction'],9
1988.0,"['Fantasy fiction, American']",4
1988.0,['Fantasy games'],1
1988.0,['Fantasy'],4
1988.0,['Farm life'],1
1988.0,['Fashion'],1
1988.0,['Fathers'],1
1988.0,['Female friendship'],1
1988.0,['Feminism'],1
1988.0,"['Fiction in English - Canadian writers, 1945- - Texts']",1
1988.0,"['Fiction in English - Zimbabwean writers, 1960- - Texts']",3
1988.0,['Fiction'],1514
1988.0,['First Ladies'],1
1988.0,['Food mixes'],1
1988.0,['Foreign Language Study'],3
1988.0,['Fortune'],1
1988.0,['Found objects (Art) in interior decoration.'],1
1988.0,['France'],2
1988.0,['Friendship'],5
1988.0,['Games & Activities'],5
1988.0,['Gardening'],4
1988.0,['Gardens'],1
1988.0,['Gay men'],1
1988.0,['Geography'],1
1988.0,['Ghost stories'],2
1988.0,['Girls'],1
1988.0,['Good and evil'],4
1988.0,['Gorilla'],2
1988.0,['Governors'],1
1988.0,['Graffiti'],1
1988.0,['Grandparents'],1
1988.0,['Health & Fitness'],11
1988.0,['Heart'],1
1988.0,['Hell'],4
1988.0,['History'],48
1988.0,['Home Economics'],3
1988.0,['Horror stories.'],1
1988.0,['Horror tales'],3
1988.0,['House & Home'],7
1988.0,['Humor'],110
1988.0,['Humorous stories'],7
1988.0,['Hypnotism'],1
1988.0,['Impresionismo (Arte) - Francia'],1
1988.0,['Indian mythology'],1
1988.0,['Indians of North America'],2
1988.0,['Interior decoration'],1
1988.0,['Interpersonal relations'],1
1988.0,['Interplanetary voyages'],6
1988.0,['Inventions'],1
1988.0,['JUVENILE FICTION'],17
1988.0,['Jewelry making'],1
1988.0,['Journalism'],1
1988.0,['Journalists'],2
1988.0,['Juvenile Fiction'],159
1988.0,['Juvenile Nonfiction'],36
1988.0,['Kirgisien - Liebesbeziehung - Geschichte 1943 - Belletristische Darstellung'],6
1988.0,['Knitting'],1
1988.0,['Landlord and tenant'],1
1988.0,['Language Arts & Disciplines'],4
1988.0,['Law'],9
1988.0,['Lifeguards'],1
1988.0,['Lightning'],1
1988.0,['Literary Collections'],9
1988.0,['Literary Criticism'],18
1988.0,['Literature'],1
1988.0,['Love stories'],1
1988.0,['Love'],2
1988.0,['Mafia'],2
1988.0,['Magic'],1
1988.0,['Marriages of royalty and nobility'],1
1988.0,['Mass murder'],1
1988.0,['Massachusetts'],1
1988.0,['Mathematics'],4
1988.0,"['McGee, Travis (Fictitious character)']",2
1988.0,['Medical ethics'],2
1988.0,['Medical students'],1
1988.0,['Medical'],11
1988.0,['Metamorphosis'],2
1988.0,['Military helicopters.'],1
1988.0,['Mineralogy'],4
1988.0,['Models (Persons)'],1
1988.0,['Motion picture actors and actresses'],3
1988.0,['Murder'],4
1988.0,['Music'],9
1988.0,['Nature'],7
1988.0,['New Orleans (La.)'],1
1988.0,"['Novelist, American']",5
1988.0,['Novelists'],1
1988.0,['Nursery rhymes'],1
1988.0,"['Nursery rhymes, American']",1
1988.0,['Occultism'],1
1988.0,['Ocean travel'],1
1988.0,['Organic gardening'],1
1988.0,['Oz (Imaginary place)'],1
1988.0,['Patagonia (Argentina and Chile)'],5
1988.0,['People with mental disabilities'],2
1988.0,['Performing Arts'],8
1988.0,['Perfumes'],1
1988.0,['Persian Gulf'],1
1988.0,['Pets'],6
1988.0,['Philosophy'],15
1988.0,['Photography'],1
1988.0,['Photography.'],1
1988.0,['Physicists'],1
1988.0,"['Picard, Jean-Luc (Fictitious character)']",1
1988.0,['Picnics'],1
1988.0,['Pit vipers'],1
1988.0,['Poetry'],15
1988.0,['Political Science'],12
1988.0,['Prostitutes'],1
1988.0,['Psychology'],12
1988.0,"['Quotations, English']",1
1988.0,['Recreational vehicles'],1
1988.0,['Reference'],10
1988.0,['Refugees'],1
1988.0,['Relationships'],1
1988.0,['Religion'],31
1988.0,['Rodeo'],1
1988.0,['Romance fiction'],1
1988.0,['Running'],1
1988.0,['SAT (Educational test)'],1
1988.0,['Sacred space'],1
1988.0,['Schools'],2
1988.0,['Science fiction'],3
1988.0,['Science'],14
1988.0,['Scotland'],3
1988.0,['Self-Help'],13
1988.0,['Self-confidence'],1
1988.0,['Shanghai (China)'],1
1988.0,['Sheep'],1
1988.0,['Short stories'],1
1988.0,['Snowshoes and snowshoeing'],1
1988.0,['Social Science'],33
1988.0,"['Sonnets, English']",1
1988.0,['Space warfare'],1
1988.0,['Spanish fiction'],1
1988.0,['Spies'],1
1988.0,['Sports & Recreation'],2
1988.0,['Stories in rhyme'],1
1988.0,['Study Aids'],1
1988.0,['Success'],1
1988.0,['Swiss literature'],1
1988.0,['Tarot'],1
1988.0,['Technology & Engineering'],5
1988.0,['Technology'],3
1988.0,['Telescopes'],1
1988.0,['Tennessee'],1
1988.0,['Thanksgiving Day'],1
1988.0,['Time management.'],2
1988.0,['Transportation'],1
1988.0,['Travel'],10
1988.0,['True Crime'],13
1988.0,['Twins'],1
1988.0,['United States'],2
1988.0,['Veterinarians'],1
1988.0,['War correspondents'],1
1988.0,"['World War, 1939-1945']",1
1988.0,['Young adult fiction'],3
1989.0,"[""Children's audiobooks""]",4
1989.0,"[""Children's poetry""]",1
1989.0,"[""Children's poetry, English.""]",1
1989.0,"[""Children's stories""]",7
1989.0,"[""Children's stories, American""]",2
1989.0,"[""Children's stories, American.""]",3
1989.0,"[""Children's stories, English""]",1
1989.0,"[""Presidents' spouses""]",1
1989.0,['AIDS (Disease) in children'],1
1989.0,['AIDS (Disease)'],1
1989.0,['Acapulco (Mexico)'],1
1989.0,['Accelerated Reader (SHS)'],1
1989.0,['Accidents'],1
1989.0,['Acting'],2
1989.0,['Actors'],1
1989.0,['Actualisation de soi'],4
1989.0,['Adjustment (Psychology)'],1
1989.0,['Adolescence'],3
1989.0,['Adult education'],2
1989.0,['Adultery'],2
1989.0,['Adventure and adventurers'],4
1989.0,['Adventure stories'],12
1989.0,"['Adventure stories, American']",2
1989.0,['African American authors'],1
1989.0,['African American families'],2
1989.0,['African American men'],4
1989.0,['African Americans'],2
1989.0,"['Agee, - 1909-1955 - Journeys - Alabama']",1
1989.0,['Aging parents'],5
1989.0,['Alaska'],1
1989.0,['Alcoholics'],3
1989.0,['Alden family (Fictitious character)'],2
1989.0,['Alphabet.'],1
1989.0,['American drama'],3
1989.0,['American essays'],1
1989.0,['American fiction'],3
1989.0,['American literature'],1
1989.0,['American poetry'],3
1989.0,"['American wit and humor, Pictorial']",2
1989.0,['Americans'],2
1989.0,['Amsterdam (Netherlands)'],10
1989.0,['Amusement parks'],1
1989.0,['América del Norte'],1
1989.0,['Anecdotes'],1
1989.0,['Angels'],1
1989.0,['Animals'],10
1989.0,['Anorexia nervosa'],1
1989.0,['Antiques & Collectibles'],2
1989.0,['Antiques'],3
1989.0,['Antisemitism'],1
1989.0,['Apocalyptic literature'],19
1989.0,['Arabic fiction'],1
1989.0,['Archaeological thefts'],1
1989.0,['Archaeology'],1
1989.0,['Architecture'],2
1989.0,['Aristocracy (Social class)'],4
1989.0,['Arizona'],1
1989.0,['Arpentage'],1
1989.0,['Art'],19
1989.0,['Artificial intelligence.'],7
1989.0,['Arts and society'],1
1989.0,"['Ashton, Carol (Fictitious character)']",1
1989.0,"['Asia, Central']",1
1989.0,['Astronomie - Ouvrages de vulgarisation'],1
1989.0,['Atlas'],1
1989.0,['Atlases.'],1
1989.0,['Aubagne (France)'],1
1989.0,['Australia'],1
1989.0,"['Authors, American']",14
1989.0,"['Authors, Irish']",1
1989.0,['Authorship'],1
1989.0,['Automobile industry and trade'],2
1989.0,['Automobile travel'],1
1989.0,['Automobile wrecking and used parts industry'],1
1989.0,['Aztec gods'],2
1989.0,['Baby-sitters Club (Imaginary organization)'],1
1989.0,['Babysitters'],5
1989.0,"['Ballads, English']",1
1989.0,['Ballet'],1
1989.0,['Baseball'],1
1989.0,['Bashfulness'],1
1989.0,['Bears'],3
1989.0,['Bible'],4
1989.0,['Bibles'],1
1989.0,['Biography & Autobiography'],118
1989.0,['Blackjack (Game)'],1
1989.0,['Boarding schools'],3
1989.0,"['Body, Mind & Spirit']",41
1989.0,['Bodyguards'],2
1989.0,['Bolivia'],1
1989.0,['Booksellers and bookselling'],4
1989.0,['Boots'],1
1989.0,"['Bounty Mutiny, 1789.']",1
1989.0,['Boys'],6
1989.0,['Brain'],4
1989.0,['British and Irish fiction (Fictional works by one author).'],88
1989.0,"['Brooklyn (New York, N.Y.)']",1
1989.0,['Brothers and sisters'],6
1989.0,['Buddhism'],1
1989.0,['Bullies'],1
1989.0,['Business & Economics'],36
1989.0,['Business enterprises'],1
1989.0,['Businesswomen'],6
1989.0,['COMICS & GRAPHIC NOVELS.'],11
1989.0,['Camping'],1
1989.0,['Cartoons and comics'],1
1989.0,"['Casteel, Heaven (Fictitious character)']",2
1989.0,['Cats'],18
1989.0,['Cattle'],7
1989.0,['Cerebral dominance'],1
1989.0,['Chapter-headings'],1
1989.0,['Child abuse'],5
1989.0,['Child care'],5
1989.0,['Child care.'],1
1989.0,['Child psychotherapy'],1
1989.0,['Child rearing'],1
1989.0,['Chinese Americans'],1
1989.0,['Christian biography'],1
1989.0,['Christmas stories'],1
1989.0,"['Chronology, Historical']",1
1989.0,['City and town life'],8
1989.0,['Clifford (Fictitious character : Bridwell)'],3
1989.0,['Clocks and watches'],1
1989.0,['Coffee cakes'],1
1989.0,['Colorado'],1
1989.0,['Comedians'],1
1989.0,['Comics & Graphic Novels'],10
1989.0,['Computers'],5
1989.0,['Conduct of life'],1
1989.0,['Consciousness'],2
1989.0,['Convalescence'],2
1989.0,"['Cookery, American']",3
1989.0,['Cooking'],26
1989.0,"['Cooking, French']",1
1989.0,"['Cooking, Spanish']",1
1989.0,['Country homes'],1
1989.0,['Country life'],2
1989.0,['Courage'],2
1989.0,"['Covenant, Thomas (Fictitious character)']",4
1989.0,['Crafts & Hobbies'],7
1989.0,['Creative ability in business.'],1
1989.0,['Crime and criminals'],2
1989.0,"['Criminal justice, Administration of']",1
1989.0,['Criminals'],2
1989.0,['Cults'],1
1989.0,['Curiosities and wonders'],1
1989.0,['Customer relations'],1
1989.0,['Dalmatian dog'],3
1989.0,['Death'],1
1989.0,"['Detective and mystery plays, American']",1
1989.0,['Detective and mystery stories'],11
1989.0,['Determination (Personality trait)'],1
1989.0,['Directors of corporations'],1
1989.0,['Disappointment'],1
1989.0,['Dogs'],3
1989.0,['Dolls'],1
1989.0,['Dolphins'],1
1989.0,['Domestic animals'],1
1989.0,['Drama'],36
1989.0,"['Drew, Nancy (Fictitious character)']",1
1989.0,['Dutch Americans'],1
1989.0,['Dutch fiction'],1
1989.0,['Dwellings'],2
1989.0,['Dysfunctional families'],3
1989.0,['Easy to read materials'],1
1989.0,['Education'],10
1989.0,['Elephants'],2
1989.0,['Embroidery.'],1
1989.0,['Encyclopedias and dictionaries'],3
1989.0,['England'],6
1989.0,['English drama (Comedy)'],3
1989.0,['English fiction'],3
1989.0,['English language'],1
1989.0,['English poetry'],2
1989.0,['Espionage'],1
1989.0,['Essstörung'],1
1989.0,['Exercise'],1
1989.0,['Extinct cities'],1
1989.0,['Extrasensory perception'],1
1989.0,['Fables'],1
1989.0,['Fairies'],1
1989.0,['Fairy tales'],1
1989.0,['Fairy tales.'],1
1989.0,['Families'],3
1989.0,['Family & Relationships'],75
1989.0,['Fantasy fiction'],1
1989.0,"['Fantasy fiction, American']",5
1989.0,['Fantasy'],1
1989.0,['Fantasy.'],2
1989.0,['Fathers and daughters'],1
1989.0,['Fiction'],1920
1989.0,['Film critics'],1
1989.0,['Film novelizations'],4
1989.0,"['Finance, Personal']",1
1989.0,['Folklore'],1
1989.0,['Foreign Language Study'],5
1989.0,['Fountains'],1
